Metric,Actual_Call,Synthetic_Call
Initial Cost,116.04900965872775,3729.038920024464
Final Payoff,1126.6900634765625,1153.4900146484374
Profit/Loss,177.25079502877225,195.360982319286
Return on Capital (%),152.7378782033765,5.238909716662446
