Metric,Value
Ticker Symbol,LT.NS
Analysis Date,2025-11-28
Data Start Date,2023-11-29
Data End Date,2025-11-27
Total Trading Days,495
Starting Price (INR),3031.43
Ending Price (INR),4081.30
Max Price (INR),4081.30
Min Price (INR),3025.93
Mean Price (INR),3537.53
Total Return (%),34.63
Annualized Return (%),16.35
Daily Volatility,0.016125
Annualized Volatility (%),1472.02
Volatility Classification,VERY HIGH
Risk-Free Rate (%),6.00
Mean Daily Return,0.000623
Skewness,-1.1252
Kurtosis,11.5795
