Model,Option_Type,Price,Stock_Price,Strike_Price,Time_To_Maturity,Volatility_Pct,Risk_Free_Rate_Pct
BSM,Call,129.13296005677603,4069.60009765625,4069.60009765625,0.08333333333333333,25.397583749557857,6.0
BSM,Put,108.83574489225316,4069.60009765625,4069.60009765625,0.08333333333333333,25.397583749557857,6.0
Binomial (N=250),Call,129.0140368554139,4069.60009765625,4069.60009765625,0.08333333333333333,25.397583749557857,6.0
Binomial (N=250),Put,108.71682169096823,4069.60009765625,4069.60009765625,0.08333333333333333,25.397583749557857,6.0
