Steps,Binomial_Price,BSM_Price,Error,Computation_Time_Sec
10,126.20003819084839,129.13296005677603,2.9329218659276393,0.0010023117065429688
25,130.3162454040655,129.13296005677603,1.183285347289484,0.003117799758911133
50,128.53956934991484,129.13296005677603,0.5933907068611859,0.006330966949462891
100,128.83587903625354,129.13296005677603,0.29708102052248364,0.02584075927734375
150,128.93482170159317,129.13296005677603,0.19813835518286282,0.04352855682373047
200,128.9843248547922,129.13296005677603,0.1486352019838364,0.06903243064880371
250,129.0140368554139,129.13296005677603,0.1189232013621222,0.09695816040039062
300,129.03384905077903,129.13296005677603,0.09911100599700262,0.16066479682922363
350,129.04800266806657,129.13296005677603,0.08495738870945502,0.17084336280822754
400,129.0586189995869,129.13296005677603,0.0743410571891161,0.2491321563720703
